--------------------------LISTA v1 (orden de aparicion)--------------------------
Palabra: camisa || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: lino || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: pantalones || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: cuero || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: resistente || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: unas || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: botas || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: gastadas || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: pero || Repeticiones: 4 || Binary code: No hay binario asignado
Palabra: comodas || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: aseguro || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: capa || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: sobre || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: hombros || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: recogio || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: mochila || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: habia || Repeticiones: 5 || Binary code: No hay binario asignado
Palabra: guardado || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: provisiones || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: brujula || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: mapas || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: antiguos || Repeticiones: 3 || Binary code: No hay binario asignado
Palabra: pequeno || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: cuaderno || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: para || Repeticiones: 3 || Binary code: No hay binario asignado
Palabra: anotar || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: descubrimientos || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: salio || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: dirigio || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: establo || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: donde || Repeticiones: 3 || Binary code: No hay binario asignado
Palabra: lo || Repeticiones: 9 || Binary code: No hay binario asignado
Palabra: esperaba || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: fiel || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: companero || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: caballo || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: trueno || Repeticiones: 4 || Binary code: No hay binario asignado
Palabra: este || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: noble || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: animal || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: pelaje || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: negro || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: mirada || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: inteligente || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: relincho || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: suavemente || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: al || Repeticiones: 4 || Binary code: No hay binario asignado
Palabra: verlo || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: acaricio || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: crin || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: ofrecio || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: manzana || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: montarlo || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: juntos || Repeticiones: 3 || Binary code: No hay binario asignado
Palabra: emprendieron || Repeticiones: 2 || Binary code: No hay binario asignado
Palabra: camino || Repeticiones: 3 || Binary code: No hay binario asignado
Palabra: norte || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: alzaban || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: majestuosas || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: sendero || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: conducia || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: era || Repeticiones: 4 || Binary code: No hay binario asignado
Palabra: sinuoso || Repeticiones: 1 || Binary code: No hay binario asignado
Palabra: menudo || Repeticiones: 1 || Binary code: No hay binario asignado
