--------------------LISTA v3 (Repeticiones)-------------------
Cantidad de Comparaciones SelDir: 136503
Palabra: suave || Repeticiones: 2 || Binary code: 0001101000
Palabra: medida || Repeticiones: 2 || Binary code: 0001101001
Palabra: mochila || Repeticiones: 2 || Binary code: 0001101010
Palabra: tras || Repeticiones: 2 || Binary code: 0001101011
Palabra: sobre || Repeticiones: 2 || Binary code: 0001101100
Palabra: feugiat || Repeticiones: 1 || Binary code: 0001101101
Palabra: luctus || Repeticiones: 1 || Binary code: 0001101110
Palabra: felis || Repeticiones: 1 || Binary code: 0001101111
Palabra: tincidunt || Repeticiones: 1 || Binary code: 0001110000
Palabra: ligula || Repeticiones: 1 || Binary code: 0001110001
Palabra: vehicula || Repeticiones: 1 || Binary code: 0001110010
Palabra: praesent || Repeticiones: 1 || Binary code: 0001110011
Palabra: eget || Repeticiones: 1 || Binary code: 0001110100
Palabra: finibus || Repeticiones: 1 || Binary code: 0001110101
Palabra: et || Repeticiones: 1 || Binary code: 0001110110
Palabra: leo || Repeticiones: 1 || Binary code: 0001110111
Palabra: ornare || Repeticiones: 1 || Binary code: 0001111000
Palabra: vivamus || Repeticiones: 1 || Binary code: 0001111001
Palabra: volutpat || Repeticiones: 1 || Binary code: 0001111010
Palabra: erat || Repeticiones: 1 || Binary code: 0001111011
Palabra: hendrerit || Repeticiones: 1 || Binary code: 0001111100
Palabra: quis || Repeticiones: 1 || Binary code: 0001111101
Palabra: mauris || Repeticiones: 1 || Binary code: 0001111110
Palabra: ullamcorper || Repeticiones: 1 || Binary code: 0001111111
Palabra: at || Repeticiones: 1 || Binary code: 0010000000
Palabra: enim || Repeticiones: 1 || Binary code: 0010000001
Palabra: faucibus || Repeticiones: 1 || Binary code: 0010000010
Palabra: ut || Repeticiones: 1 || Binary code: 0010000011
Palabra: convallis || Repeticiones: 1 || Binary code: 0010000100
Palabra: in || Repeticiones: 1 || Binary code: 0010000101
Palabra: lobortis || Repeticiones: 1 || Binary code: 0010000110
Palabra: pretium || Repeticiones: 1 || Binary code: 0010000111
Palabra: urna || Repeticiones: 1 || Binary code: 0010001000
Palabra: nullam || Repeticiones: 1 || Binary code: 0010001001
Palabra: facilisis || Repeticiones: 1 || Binary code: 0010001010
Palabra: eu || Repeticiones: 1 || Binary code: 0010001011
Palabra: massa || Repeticiones: 1 || Binary code: 0010001100
Palabra: congue || Repeticiones: 1 || Binary code: 0010001101
Palabra: lacinia || Repeticiones: 1 || Binary code: 0010001110
Palabra: pellentesque || Repeticiones: 1 || Binary code: 0010001111
Palabra: elit || Repeticiones: 1 || Binary code: 0010010000
Palabra: adipiscing || Repeticiones: 1 || Binary code: 0010010001
Palabra: consectetur || Repeticiones: 1 || Binary code: 0010010010
Palabra: dolor || Repeticiones: 1 || Binary code: 0010010011
Palabra: ipsum || Repeticiones: 1 || Binary code: 0010010100
Palabra: lorem || Repeticiones: 1 || Binary code: 0010010101
Palabra: generaciones || Repeticiones: 1 || Binary code: 0010010110
Palabra: futuras || Repeticiones: 1 || Binary code: 0010010111
Palabra: guia || Repeticiones: 1 || Binary code: 0010011000
Palabra: adquirido || Repeticiones: 1 || Binary code: 0010011001
Palabra: conocimiento || Repeticiones: 1 || Binary code: 0010011010
Palabra: exito || Repeticiones: 1 || Binary code: 0010011011
Palabra: sido || Repeticiones: 1 || Binary code: 0010011100
Palabra: aventura || Repeticiones: 1 || Binary code: 0010011101
Palabra: sabiendo || Repeticiones: 1 || Binary code: 0010011110
Palabra: casa || Repeticiones: 1 || Binary code: 0010011111
Palabra: vuelta || Repeticiones: 1 || Binary code: 0010100000
Palabra: nuevamente || Repeticiones: 1 || Binary code: 0010100001
Palabra: monto || Repeticiones: 1 || Binary code: 0010100010
Palabra: esperanza || Repeticiones: 1 || Binary code: 0010100011
Palabra: gratitud || Repeticiones: 1 || Binary code: 0010100100
Palabra: largo || Repeticiones: 1 || Binary code: 0010100101
Palabra: regreso || Repeticiones: 1 || Binary code: 0010100110
Palabra: guardo || Repeticiones: 1 || Binary code: 0010100111
Palabra: mundo || Repeticiones: 1 || Binary code: 0010101000
Palabra: descubrimiento || Repeticiones: 1 || Binary code: 0010101001
Palabra: compartir || Repeticiones: 1 || Binary code: 0010101010
Palabra: renovada || Repeticiones: 1 || Binary code: 0010101011
Palabra: venido || Repeticiones: 1 || Binary code: 0010101100
Palabra: habian || Repeticiones: 1 || Binary code: 0010101101
Palabra: aquellos || Repeticiones: 1 || Binary code: 0010101110
Palabra: conexion || Repeticiones: 1 || Binary code: 0010101111
Palabra: profunda || Repeticiones: 1 || Binary code: 0010110000
Palabra: cosas || Repeticiones: 1 || Binary code: 0010110001
Palabra: lograr || Repeticiones: 1 || Binary code: 0010110010
Palabra: personas || Repeticiones: 1 || Binary code: 0010110011
Palabra: unir || Repeticiones: 1 || Binary code: 0010110100
Palabra: capacidad || Repeticiones: 1 || Binary code: 0010110101
Palabra: residia || Repeticiones: 1 || Binary code: 0010110110
Palabra: verdadero || Repeticiones: 1 || Binary code: 0010110111
Palabra: comprendio || Repeticiones: 1 || Binary code: 0010111000
Palabra: comun || Repeticiones: 1 || Binary code: 0010111001
Palabra: proposito || Repeticiones: 1 || Binary code: 0010111010
Palabra: trabajando || Repeticiones: 1 || Binary code: 0010111011
Palabra: constructores || Repeticiones: 1 || Binary code: 0010111100
Palabra: mente || Repeticiones: 1 || Binary code: 0010111101
Palabra: inundo || Repeticiones: 1 || Binary code: 0010111110
Palabra: vision || Repeticiones: 1 || Binary code: 0010111111
Palabra: ese || Repeticiones: 1 || Binary code: 0011000000
Palabra: tomo || Repeticiones: 1 || Binary code: 0011000001
Palabra: delicadeza || Repeticiones: 1 || Binary code: 0011000010
Palabra: extendio || Repeticiones: 1 || Binary code: 0011000011
